FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,1.80324,192.168.0.100,9,192.168.0.1,9,UDP,16,16,0,1216,1216,8.87291,8.87291,674.341,674.341,0.0116567,0.00632243,5.39473,76,0,0,Sybil Attack
2,2.40221,192.168.0.100,9,192.168.0.2,9,UDP,19,5,14,1444,380,7.90938,2.08142,601.113,158.188,0.00770546,0.00602439,1.2655,76,0.736842,0,Sybil Attack
3,2.00957,192.168.0.100,9,192.168.0.7,9,UDP,12,5,7,912,380,5.97142,2.48809,453.828,189.095,0.407945,0.404099,1.51276,76,0.583333,0,Sybil Attack
4,1.80671,192.168.0.100,9,192.168.0.14,9,UDP,16,12,4,1216,912,8.8559,6.64192,673.048,504.786,0.00490957,0.00265851,4.03829,76,0.25,0,Sybil Attack
5,3.00562,192.168.0.100,9,192.168.0.16,9,UDP,6,3,3,456,228,1.99626,0.998132,151.716,75.858,2.00965,0.664179,0.606864,76,0.5,0,Sybil Attack
6,2.40262,192.168.0.100,9,192.168.0.17,9,UDP,19,15,4,1444,1140,7.90803,6.24318,601.01,474.482,0.208548,0.407186,3.79585,76,0.210526,0,Sybil Attack
7,2.40302,192.168.0.100,9,192.168.0.22,9,UDP,18,11,7,1368,836,7.49058,4.57758,569.284,347.896,0.0427267,0.0760342,2.78317,76,0.388889,0,Sybil Attack
8,0.609462,192.168.0.100,9,192.168.0.24,9,UDP,6,3,3,456,228,9.84475,4.92238,748.201,374.101,0.00764215,0.0013075,2.9928,76,0.5,0,Sybil Attack
9,1.80327,192.168.0.101,9,192.168.0.1,9,UDP,16,16,0,1216,1216,8.87275,8.87275,674.329,674.329,0.0116895,0.00632243,5.39463,76,0,0,Sybil Attack
10,2.40224,192.168.0.101,9,192.168.0.2,9,UDP,19,5,14,1444,380,7.90928,2.08139,601.105,158.186,0.00773828,0.00602439,1.26548,76,0.736842,0,Sybil Attack
11,2.00961,192.168.0.101,9,192.168.0.7,9,UDP,12,5,7,912,380,5.97132,2.48805,453.82,189.092,0.410139,0.406261,1.51273,76,0.583333,0,Sybil Attack
12,1.80674,192.168.0.101,9,192.168.0.14,9,UDP,16,12,4,1216,912,8.85574,6.6418,673.036,504.777,0.00494239,0.00265851,4.03822,76,0.25,0,Sybil Attack
13,3.00565,192.168.0.101,9,192.168.0.16,9,UDP,6,3,3,456,228,1.99624,0.998121,151.714,75.8572,2.00968,0.664179,0.606857,76,0.5,0,Sybil Attack
14,2.40266,192.168.0.101,9,192.168.0.17,9,UDP,19,15,4,1444,1140,7.90792,6.24309,601.002,474.475,0.208628,0.407138,3.7958,76,0.210526,0,Sybil Attack
15,2.40305,192.168.0.101,9,192.168.0.22,9,UDP,18,11,7,1368,836,7.49048,4.57752,569.277,347.891,0.0427595,0.0760342,2.78313,76,0.388889,0,Sybil Attack
16,0.609495,192.168.0.101,9,192.168.0.24,9,UDP,6,3,3,456,228,9.84422,4.92211,748.161,374.08,0.00767497,0.0013075,2.99264,76,0.5,0,Sybil Attack
17,1.80331,192.168.0.102,9,192.168.0.1,9,UDP,16,16,0,1216,1216,8.87258,8.87258,674.316,674.316,0.0117225,0.00632238,5.39453,76,0,0,Sybil Attack
18,2.40228,192.168.0.102,9,192.168.0.2,9,UDP,19,5,14,1444,380,7.90917,2.08136,601.097,158.183,0.00777126,0.00602455,1.26547,76,0.736842,0,Sybil Attack
19,2.00964,192.168.0.102,9,192.168.0.7,9,UDP,12,5,7,912,380,5.97122,2.48801,453.813,189.089,0.410173,0.406261,1.51271,76,0.583333,0,Sybil Attack
20,1.80677,192.168.0.102,9,192.168.0.14,9,UDP,16,12,4,1216,912,8.85558,6.64168,673.024,504.768,0.00497528,0.00265865,4.03814,76,0.25,0,Sybil Attack
21,3.00568,192.168.0.102,9,192.168.0.16,9,UDP,6,3,3,456,228,1.99622,0.99811,151.713,75.8563,2.00971,0.664179,0.606851,76,0.5,0,Sybil Attack
22,2.40269,192.168.0.102,9,192.168.0.17,9,UDP,19,15,4,1444,1140,7.90781,6.24301,600.994,474.469,0.208734,0.407066,3.79575,76,0.210526,0,Sybil Attack
23,2.40308,192.168.0.102,9,192.168.0.22,9,UDP,18,11,7,1368,836,7.49038,4.57745,569.269,347.887,0.0427924,0.0760344,2.78309,76,0.388889,0,Sybil Attack
24,0.609528,192.168.0.102,9,192.168.0.24,9,UDP,6,3,3,456,228,9.84368,4.92184,748.12,374.06,0.00770831,0.0013075,2.99248,76,0.5,0,Sybil Attack
25,1.80334,192.168.0.103,9,192.168.0.1,9,UDP,16,12,4,1216,912,8.87242,6.65432,674.304,505.728,0.00266941,0.00180731,4.04582,76,0.25,0,Sybil Attack
26,2.40231,192.168.0.103,9,192.168.0.2,9,UDP,19,4,15,1444,304,7.90906,1.66507,601.088,126.545,0.00369157,0.00195104,1.01236,76,0.789474,0,Sybil Attack
27,1.80464,192.168.0.103,9,192.168.0.7,9,UDP,12,3,9,912,228,6.64951,1.66238,505.363,126.341,0.00468916,0.00186226,1.01073,76,0.75,0,Sybil Attack
28,1.8068,192.168.0.103,9,192.168.0.14,9,UDP,16,11,5,1216,836,8.85542,6.0881,673.012,462.695,0.00446523,0.00151992,3.70156,76,0.3125,0,Sybil Attack
29,1,192.168.0.103,9,192.168.0.16,9,UDP,6,0,6,456,0,6,0,456,0,0,0,0,76,1,0,Sybil Attack
30,2.40272,192.168.0.103,9,192.168.0.17,9,UDP,19,11,8,1444,836,7.9077,4.57814,600.985,347.939,0.00463795,0.00234725,2.78351,76,0.421053,0,Sybil Attack
31,2.40312,192.168.0.103,9,192.168.0.22,9,UDP,18,10,8,1368,760,7.49028,4.16127,569.261,316.256,0.00571507,0.00231514,2.53005,76,0.444444,0,Sybil Attack
32,0.608024,192.168.0.103,9,192.168.0.24,9,UDP,6,1,5,456,76,9.86803,1.64467,749.97,124.995,0.00802396,0,0.999961,76,0.833333,0,Sybil Attack
33,1.80338,192.168.0.104,9,192.168.0.1,9,UDP,16,12,4,1216,912,8.87225,6.65418,674.291,505.718,0.00270537,0.00180731,4.04574,76,0.25,0,Sybil Attack
34,2.40234,192.168.0.104,9,192.168.0.2,9,UDP,19,4,15,1444,304,7.90894,1.66504,601.079,126.543,0.00372754,0.00195104,1.01234,76,0.789474,0,Sybil Attack
35,1.80468,192.168.0.104,9,192.168.0.7,9,UDP,12,3,9,912,228,6.64938,1.66234,505.353,126.338,0.00472513,0.00186226,1.01071,76,0.75,0,Sybil Attack
36,1.80684,192.168.0.104,9,192.168.0.14,9,UDP,16,11,5,1216,836,8.85524,6.08798,672.998,462.686,0.0045012,0.00151992,3.70149,76,0.3125,0,Sybil Attack
37,1,192.168.0.104,9,192.168.0.16,9,UDP,6,0,6,456,0,6,0,456,0,0,0,0,76,1,0,Sybil Attack
38,2.40276,192.168.0.104,9,192.168.0.17,9,UDP,19,11,8,1444,836,7.90758,4.57807,600.976,347.934,0.00467392,0.00234725,2.78347,76,0.421053,0,Sybil Attack
39,2.40315,192.168.0.104,9,192.168.0.22,9,UDP,18,10,8,1368,760,7.49017,4.1612,569.253,316.251,0.00575104,0.00231514,2.53001,76,0.444444,0,Sybil Attack
40,0.60806,192.168.0.104,9,192.168.0.24,9,UDP,6,1,5,456,76,9.86745,1.64457,749.926,124.988,0.00805993,0,0.999901,76,0.833333,0,Sybil Attack
102,180,192.168.0.7,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.00035718,0.000282624,0.0641777,76,0,0,Normal Traffic
103,180,192.168.0.7,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.00150594,0.001477,0.0641777,76,0,0.0526316,Normal Traffic
104,180.001,192.168.0.7,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.00566411,0.00924788,0.0641776,76,0,0.210526,Normal Traffic
105,180.001,192.168.0.7,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.00311517,0.00406065,0.0641775,76,0,0.105263,Normal Traffic
106,180.002,192.168.0.7,9,192.168.0.8,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02215,8.02215,0.00309969,0.00348759,0.0641772,76,0,0.0526316,Normal Traffic
107,180.002,192.168.0.7,9,192.168.0.9,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02214,8.02214,0.00338437,0.00311028,0.0641771,76,0,0.105263,Normal Traffic
108,180.002,192.168.0.7,9,192.168.0.10,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02213,8.02213,0.00258549,0.00103675,0.0641771,76,0,0,Normal Traffic
109,180.002,192.168.0.7,9,192.168.0.11,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02212,8.02212,0.00291185,0.00115485,0.064177,76,0,0,Normal Traffic
110,180.003,192.168.0.7,9,192.168.0.13,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.0221,8.0221,0.00378546,0.00219202,0.0641768,76,0,0.105263,Normal Traffic
111,180.003,192.168.0.7,9,192.168.0.14,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02209,8.02209,0.00243351,0.000427833,0.0641767,76,0,0,Normal Traffic
