FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,0.614401,192.168.0.100,9,192.168.0.2,9,UDP,46,16,30,3496,1216,74.8697,26.0416,5690.1,1979.16,0.0148596,0.00403489,15.8333,76,0.652174,0,Sybil Attack
2,2.00161,192.168.0.100,9,192.168.0.17,9,UDP,44,28,16,3344,2128,21.9823,13.9887,1670.65,1063.14,0.333347,0.0735029,8.50514,76,0.363636,0,Sybil Attack
3,0.614433,192.168.0.101,9,192.168.0.2,9,UDP,46,16,30,3496,1216,74.8657,26.0403,5689.8,1979.06,0.0148925,0.00403489,15.8325,76,0.652174,0,Sybil Attack
4,2.00165,192.168.0.101,9,192.168.0.17,9,UDP,44,28,16,3344,2128,21.9819,13.9885,1670.62,1063.12,0.333488,0.0735029,8.505,76,0.363636,0,Sybil Attack
5,0.614466,192.168.0.102,9,192.168.0.2,9,UDP,46,16,30,3496,1216,74.8617,26.0389,5689.49,1978.95,0.0149257,0.00403493,15.8316,76,0.652174,0,Sybil Attack
6,2.00168,192.168.0.102,9,192.168.0.17,9,UDP,44,28,16,3344,2128,21.9815,13.9882,1670.6,1063.11,0.333522,0.0735029,8.50485,76,0.363636,0,Sybil Attack
7,0.614499,192.168.0.103,9,192.168.0.2,9,UDP,46,8,38,3496,608,74.8577,13.0187,5689.19,989.424,0.00734395,0.00168015,7.91539,76,0.826087,0,Sybil Attack
8,0.613688,192.168.0.103,9,192.168.0.17,9,UDP,44,10,34,3344,760,71.6977,16.2949,5449.03,1238.42,0.00885562,0.00113992,9.90732,76,0.772727,0,Sybil Attack
9,0.614535,192.168.0.104,9,192.168.0.2,9,UDP,46,8,38,3496,608,74.8533,13.018,5688.85,989.366,0.00737991,0.00168015,7.91493,76,0.826087,0,Sybil Attack
10,0.613723,192.168.0.104,9,192.168.0.17,9,UDP,44,10,34,3344,760,71.6935,16.294,5448.71,1238.34,0.00889159,0.00113992,9.90674,76,0.772727,0,Sybil Attack
11,180,192.168.0.1,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02222,8.02222,0.00209559,0.00220206,0.0641777,76,0,0.210526,Normal Traffic
12,180,192.168.0.1,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.00279253,0.00256572,0.0641776,76,0,0.0526316,Normal Traffic
13,180.001,192.168.0.1,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.0543469,0.0541129,0.0641776,76,0,0.210526,Normal Traffic
107,180,192.168.0.2,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.0464825,0.0469689,0.0641778,76,0,0.263158,Normal Traffic
108,180,192.168.0.2,9,192.168.0.3,9,UDP,19,18,1,1444,1368,0.105555,0.0999998,8.02221,7.59999,0.000480405,0.000437422,0.0607999,76,0.0526316,0,Normal Traffic
109,180.001,192.168.0.2,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.00107899,0.000849423,0.0641776,76,0,0,Normal Traffic
115,180,192.168.0.4,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.000109728,4.57252e-05,0.0641777,76,0,0.0526316,Normal Traffic
116,180.001,192.168.0.4,9,192.168.0.2,9,UDP,19,18,1,1444,1368,0.105555,0.0999997,8.0222,7.59998,0.000717868,0.000855892,0.0607998,76,0.0526316,0.111111,Normal Traffic
117,180.001,192.168.0.4,9,192.168.0.3,9,UDP,19,18,1,1444,1368,0.105555,0.0999995,8.02218,7.59996,0.00246896,0.00389526,0.0607997,76,0.0526316,0.333333,Normal Traffic
131,180,192.168.0.3,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.000243578,0.000293786,0.0641778,76,0,0,Normal Traffic
132,180,192.168.0.3,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.00063395,0.000601419,0.0641777,76,0,0,Normal Traffic
133,180.001,192.168.0.3,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.00119256,0.00114126,0.0641776,76,0,0.157895,Normal Traffic
