FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,0.6145,192.168.0.100,9,192.168.0.2,9,UDP,42,11,31,3192,836,68.3483,17.9007,5194.47,1360.46,0.0150947,0.00664611,10.8837,76,0.738095,0.545455,Sybil Attack
2,2.29179,192.168.0.100,9,192.168.0.17,9,UDP,40,12,28,3040,912,17.4536,5.23608,1326.47,397.942,0.429462,0.202627,3.18354,76,0.7,0.583333,Sybil Attack
3,0.614532,192.168.0.101,9,192.168.0.2,9,UDP,42,11,31,3192,836,68.3446,17.8998,5194.19,1360.38,0.0152654,0.00664611,10.8831,76,0.738095,0.545455,Sybil Attack
4,2.29182,192.168.0.101,9,192.168.0.17,9,UDP,40,12,28,3040,912,17.4534,5.23601,1326.46,397.937,0.429942,0.202627,3.18349,76,0.7,0.583333,Sybil Attack
5,0.614565,192.168.0.102,9,192.168.0.2,9,UDP,42,11,31,3192,836,68.341,17.8988,5193.92,1360.31,0.0152984,0.00664618,10.8825,76,0.738095,0.545455,Sybil Attack
6,2.29186,192.168.0.102,9,192.168.0.17,9,UDP,40,12,28,3040,912,17.4531,5.23593,1326.44,397.931,0.430058,0.202627,3.18345,76,0.7,0.583333,Sybil Attack
7,0.614598,192.168.0.103,9,192.168.0.2,9,UDP,42,8,34,3192,608,68.3373,13.0166,5193.64,989.264,0.0127131,0.000790123,7.91411,76,0.809524,0.75,Sybil Attack
8,0.62732,192.168.0.103,9,192.168.0.17,9,UDP,40,5,35,3040,380,63.7633,7.97041,4846.01,605.751,0.01375,0.00486223,4.84601,76,0.875,0.4,Sybil Attack
9,0.614634,192.168.0.104,9,192.168.0.2,9,UDP,42,8,34,3192,608,68.3334,13.0159,5193.34,989.207,0.0127426,0.000790085,7.91366,76,0.809524,0.75,Sybil Attack
10,0.627353,192.168.0.104,9,192.168.0.17,9,UDP,40,5,35,3040,380,63.76,7.96999,4845.76,605.72,0.0137853,0.0048616,4.84576,76,0.875,0.4,Sybil Attack
227,180,192.168.0.1,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.0212998,0.0424493,0.0641778,76,0,0.157895,Normal Traffic
228,180,192.168.0.1,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.00190663,0.00315046,0.0641776,76,0,0.210526,Normal Traffic
229,180.001,192.168.0.1,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.0548921,0.0535512,0.0641775,76,0,0.421053,Normal Traffic
230,180.001,192.168.0.1,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00487914,0.00557847,0.0641775,76,0,0.578947,Normal Traffic
231,180.001,192.168.0.1,9,192.168.0.6,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00389894,0.00528665,0.0641774,76,0,0.315789,Normal Traffic
273,180,192.168.0.6,9,192.168.0.1,9,UDP,19,18,1,1444,1368,0.105556,0.1,8.02222,7.6,0.000385883,0.000559996,0.0608,76,0.0526316,0.277778,Normal Traffic
274,180.001,192.168.0.6,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00231344,0.00331063,0.0641775,76,0,0.210526,Normal Traffic
275,180,192.168.0.5,9,192.168.0.1,9,UDP,19,17,2,1444,1292,0.105556,0.0944444,8.02222,7.17777,0.000335356,0.000484821,0.0574222,76,0.105263,0.235294,Normal Traffic
276,180,192.168.0.5,9,192.168.0.2,9,UDP,18,16,2,1368,1216,0.0999998,0.0888887,7.59998,6.75554,0.0568295,0.0559444,0.0540443,76,0.111111,0.375,Normal Traffic
277,180.001,192.168.0.5,9,192.168.0.3,9,UDP,19,18,1,1444,1368,0.105555,0.0999997,8.02219,7.59997,0.00568792,0.00548382,0.0607998,76,0.0526316,0.222222,Normal Traffic
278,180.001,192.168.0.5,9,192.168.0.6,9,UDP,19,17,2,1444,1292,0.105555,0.0944438,8.02217,7.17773,0.00237715,0.00320014,0.0574218,76,0.105263,0.0588235,Normal Traffic
279,180,192.168.0.2,9,192.168.0.1,9,UDP,19,8,11,1444,608,0.105556,0.0444444,8.02222,3.37778,0.00150704,0.00178131,0.0270222,76,0.578947,0,Normal Traffic
280,180,192.168.0.2,9,192.168.0.3,9,UDP,19,17,2,1444,1292,0.105555,0.0944443,8.02221,7.17777,0.00136515,0.00233082,0.0574221,76,0.105263,0,Normal Traffic
281,180,192.168.0.2,9,192.168.0.4,9,UDP,19,18,1,1444,1368,0.105555,0.0999997,8.0222,7.59998,0.159241,0.159187,0.0607998,76,0.0526316,0.166667,Normal Traffic
282,180.001,192.168.0.2,9,192.168.0.5,9,UDP,18,16,2,1368,1216,0.0999996,0.0888886,7.59997,6.75553,0.0081018,0.00993044,0.0540442,76,0.111111,0.5625,Normal Traffic
316,180,192.168.0.4,9,192.168.0.1,9,UDP,19,18,1,1444,1368,0.105556,0.1,8.02222,7.6,0.00011911,8.60473e-05,0.0608,76,0.0526316,0,Normal Traffic
317,180,192.168.0.4,9,192.168.0.2,9,UDP,19,18,1,1444,1368,0.105555,0.0999998,8.0222,7.59998,0.000701178,0.000501412,0.0607999,76,0.0526316,0,Normal Traffic
318,180.001,192.168.0.4,9,192.168.0.3,9,UDP,19,18,1,1444,1368,0.105555,0.0999996,8.02219,7.59997,0.000671973,0.000302184,0.0607998,76,0.0526316,0,Normal Traffic
319,180,192.168.0.3,9,192.168.0.1,9,UDP,19,8,11,1444,608,0.105556,0.0444444,8.02222,3.37778,0.000787711,0.00125583,0.0270222,76,0.578947,0.25,Normal Traffic
320,180,192.168.0.3,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.000191602,0.000119598,0.0641777,76,0,0.0526316,Normal Traffic
321,180.001,192.168.0.3,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.033494,0.0338616,0.0641776,76,0,0.157895,Normal Traffic
322,180.001,192.168.0.3,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00213304,0.00272094,0.0641775,76,0,0.263158,Normal Traffic
507,160,192.168.0.6,9,192.168.0.3,9,UDP,17,17,0,1292,1292,0.10625,0.10625,8.07498,8.07498,0.00137649,0.000679957,0.0645998,76,0,0.235294,Normal Traffic
516,160.001,192.168.0.3,9,192.168.0.6,9,UDP,17,16,1,1292,1216,0.106249,0.0999993,8.07495,7.59995,0.00136222,0.00107459,0.0607996,76,0.0588235,0,Normal Traffic
556,150.001,192.168.0.5,9,192.168.0.4,9,UDP,14,12,2,1064,912,0.0933328,0.0799995,7.09329,6.07996,0.00419431,0.00542662,0.0486397,76,0.142857,0.583333,Normal Traffic
