FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,8775.25,192.168.0.100,9,10.10.0.5,9,UDP,74,74,0,5624,5624,0.00843281,0.00843281,0.640893,0.640893,0.000158899,8.60815e-05,0.00512715,76,0,0,Sybil Attack
2,8649.25,192.168.0.100,9,10.10.0.8,9,UDP,186,186,0,14136,14136,0.0215048,0.0215048,1.63436,1.63436,0.000208699,6.24251e-05,0.0130749,76,0,0,Sybil Attack
3,8775.25,192.168.0.101,9,10.10.0.5,9,UDP,74,74,0,5624,5624,0.00843281,0.00843281,0.640893,0.640893,0.000191719,8.60815e-05,0.00512715,76,0,0,Sybil Attack
4,8649.25,192.168.0.101,9,10.10.0.8,9,UDP,186,186,0,14136,14136,0.0215048,0.0215048,1.63436,1.63436,0.000241519,6.24251e-05,0.0130749,76,0,0,Sybil Attack
5,8775.25,192.168.0.102,9,10.10.0.5,9,UDP,74,74,0,5624,5624,0.00843281,0.00843281,0.640893,0.640893,0.00022455,8.60921e-05,0.00512715,76,0,0,Sybil Attack
6,8649.25,192.168.0.102,9,10.10.0.8,9,UDP,186,186,0,14136,14136,0.0215048,0.0215048,1.63436,1.63436,0.000274344,6.24293e-05,0.0130749,76,0,0,Sybil Attack
7,8775.25,192.168.0.103,9,10.10.0.5,9,UDP,74,73,1,5624,5548,0.00843281,0.00831885,0.640893,0.632233,0.000228726,5.74579e-05,0.00505786,76,0.0135135,0,Sybil Attack
8,8649.25,192.168.0.103,9,10.10.0.8,9,UDP,186,185,1,14136,14060,0.0215048,0.0213891,1.63436,1.62557,0.000284513,4.22578e-05,0.0130046,76,0.00537634,0,Sybil Attack
9,8775.25,192.168.0.104,9,10.10.0.5,9,UDP,74,73,1,5624,5548,0.00843281,0.00831885,0.640893,0.632233,0.000261546,5.74579e-05,0.00505786,76,0.0135135,0,Sybil Attack
10,8649.25,192.168.0.104,9,10.10.0.8,9,UDP,186,185,1,14136,14060,0.0215048,0.0213891,1.63436,1.62557,0.000317333,4.22578e-05,0.0130046,76,0.00537634,0,Sybil Attack
11,8775.25,192.168.0.105,9,10.10.0.5,9,UDP,74,73,1,5624,5548,0.00843281,0.00831885,0.640893,0.632233,0.000294366,5.74579e-05,0.00505786,76,0.0135135,0,Sybil Attack
12,8649.25,192.168.0.105,9,10.10.0.8,9,UDP,186,185,1,14136,14060,0.0215048,0.0213891,1.63436,1.62557,0.000350153,4.22578e-05,0.0130046,76,0.00537634,0,Sybil Attack
13,8775.25,192.168.0.106,9,10.10.0.5,9,UDP,74,73,1,5624,5548,0.00843281,0.00831885,0.640893,0.632233,0.000327186,5.74579e-05,0.00505786,76,0.0135135,0,Sybil Attack
14,8649.25,192.168.0.106,9,10.10.0.8,9,UDP,186,185,1,14136,14060,0.0215048,0.0213891,1.63436,1.62557,0.000382973,4.22578e-05,0.0130046,76,0.00537634,0,Sybil Attack
15,8775.25,192.168.0.107,9,10.10.0.5,9,UDP,74,73,1,5624,5548,0.00843281,0.00831885,0.640893,0.632233,0.000360006,5.74579e-05,0.00505786,76,0.0135135,0,Sybil Attack
16,8649.25,192.168.0.107,9,10.10.0.8,9,UDP,186,185,1,14136,14060,0.0215048,0.0213891,1.63436,1.62557,0.000415793,4.22578e-05,0.0130046,76,0.00537634,0,Sybil Attack
17,8775.25,192.168.0.108,9,10.10.0.5,9,UDP,74,73,1,5624,5548,0.00843281,0.00831885,0.640893,0.632233,0.000392826,5.74579e-05,0.00505786,76,0.0135135,0,Sybil Attack
18,8649.25,192.168.0.108,9,10.10.0.8,9,UDP,186,185,1,14136,14060,0.0215048,0.0213891,1.63436,1.62557,0.000448613,4.22578e-05,0.0130046,76,0.00537634,0,Sybil Attack
19,8775.25,192.168.0.109,9,10.10.0.5,9,UDP,74,73,1,5624,5548,0.00843281,0.00831885,0.640893,0.632233,0.000428694,5.74579e-05,0.00505786,76,0.0135135,0,Sybil Attack
