FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,180,192.168.0.1,9,192.168.0.2,9,UDP,18,15,3,1368,1140,0.1,0.0833333,7.6,6.33333,0.000997045,0.000801853,0.0506666,76,0.166667,0.0666667,Normal Traffic
2,180.01,192.168.0.1,9,192.168.0.3,9,UDP,19,13,6,1444,988,0.105549,0.072218,8.02176,5.48857,0.0056414,0.00451779,0.0439086,76,0.315789,1,Normal Traffic
3,180,192.168.0.1,9,192.168.0.4,9,UDP,19,17,2,1444,1292,0.105555,0.0944443,8.02221,7.17776,0.00241642,0.00393861,0.0574221,76,0.105263,0.117647,Normal Traffic
4,180.004,192.168.0.6,9,192.168.0.3,9,UDP,19,16,3,1444,1216,0.105553,0.0888867,8.02202,6.75539,0.000919607,0.000854081,0.0540431,76,0.157895,0.0625,Normal Traffic
5,180.005,192.168.0.6,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105553,0.105553,8.02202,8.02202,0.159048,0.159037,0.0641761,76,0,0.0526316,Normal Traffic
6,180,192.168.0.5,9,192.168.0.3,9,UDP,19,7,12,1444,532,0.105555,0.0388888,8.02221,2.95555,0.000398436,0.000249412,0.0236444,76,0.631579,0,Normal Traffic
7,180.001,192.168.0.5,9,192.168.0.6,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.00132694,0.00122098,0.0641775,76,0,0.157895,Normal Traffic
16,180,192.168.0.2,9,192.168.0.1,9,UDP,18,17,1,1368,1292,0.1,0.0944444,7.6,7.17777,0.000643698,0.000668839,0.0574222,76,0.0555556,0.0588235,Normal Traffic
17,180,192.168.0.2,9,192.168.0.3,9,UDP,18,16,2,1368,1216,0.0999999,0.0888888,7.59999,6.75555,0.00202415,0.00232503,0.0540444,76,0.111111,0.125,Normal Traffic
18,180,192.168.0.2,9,192.168.0.4,9,UDP,19,9,10,1444,684,0.105555,0.0499999,8.0222,3.79999,0.113139,0.22243,0.0303999,76,0.526316,0.222222,Normal Traffic
24,180,192.168.0.4,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.00166117,0.00272759,0.0641778,76,0,0.157895,Normal Traffic
25,180,192.168.0.4,9,192.168.0.2,9,UDP,19,11,8,1444,836,0.105555,0.061111,8.02221,4.64444,0.00230894,0.00333542,0.0371555,76,0.421053,0.454545,Normal Traffic
26,180,192.168.0.4,9,192.168.0.3,9,UDP,17,9,8,1292,684,0.0944442,0.0499999,7.17776,3.79999,0.00202489,0.00274452,0.0303999,76,0.470588,0.333333,Normal Traffic
27,180.001,192.168.0.3,9,192.168.0.1,9,UDP,19,14,5,1444,1064,0.105555,0.0777775,8.0222,5.91109,0.216275,0.43134,0.0472887,76,0.263158,0.714286,Normal Traffic
28,180,192.168.0.3,9,192.168.0.2,9,UDP,18,14,4,1368,1064,0.0999998,0.0777776,7.59998,5.9111,0.00120018,0.00168899,0.0472888,76,0.222222,0.428571,Normal Traffic
29,180,192.168.0.3,9,192.168.0.4,9,UDP,17,9,8,1292,684,0.0944444,0.05,7.17777,3.8,0.00402992,0.00679657,0.0304,76,0.470588,0.444444,Normal Traffic
30,180.001,192.168.0.3,9,192.168.0.5,9,UDP,19,17,2,1444,1292,0.105555,0.094444,8.02219,7.17775,0.100453,0.12072,0.057422,76,0.105263,0.411765,Normal Traffic
31,180.001,192.168.0.3,9,192.168.0.6,9,UDP,19,17,2,1444,1292,0.105555,0.0944439,8.02217,7.17773,0.00349987,0.00474304,0.0574219,76,0.105263,0.176471,Normal Traffic
117,150.002,192.168.0.6,9,192.168.0.2,9,UDP,8,6,1,608,456,0.0533325,0.0399994,4.05327,3.03995,0.00870882,0.00457544,0.0243196,76,0.125,1.66667,Normal Traffic
118,150.004,192.168.0.6,9,192.168.0.4,9,UDP,8,5,3,608,380,0.0533318,0.0333324,4.05322,2.53326,0.00512204,0.00644974,0.0202661,76,0.375,1.6,Normal Traffic
136,160,192.168.0.5,9,192.168.0.2,9,UDP,10,8,2,760,608,0.0625,0.05,4.75,3.8,0.255589,0.502575,0.0304,76,0.2,1.5,Normal Traffic
137,160.009,192.168.0.5,9,192.168.0.4,9,UDP,11,10,1,836,760,0.0687459,0.0624963,5.22469,4.74972,0.129389,0.142457,0.0379978,76,0.0909091,2.3,Normal Traffic
139,160.001,192.168.0.2,9,192.168.0.5,9,UDP,10,9,1,760,684,0.0624997,0.0562498,4.74998,4.27498,0.336777,0.664312,0.0341999,76,0.1,1.11111,Normal Traffic
140,150.001,192.168.0.2,9,192.168.0.6,9,UDP,8,6,1,608,456,0.053333,0.0399998,4.05331,3.03998,0.00514184,0.00485039,0.0243199,76,0.125,0.833333,Normal Traffic
169,160.004,192.168.0.4,9,192.168.0.5,9,UDP,11,8,3,836,608,0.0687485,0.0499989,5.22489,3.79992,0.00258687,0.00342704,0.0303993,76,0.272727,1.375,Normal Traffic
170,150.001,192.168.0.4,9,192.168.0.6,9,UDP,8,6,2,608,456,0.0533329,0.0399997,4.0533,3.03998,0.136818,0.271429,0.0243198,76,0.25,1.33333,Normal Traffic
182,10.0085,192.168.0.1,9,192.168.0.6,9,UDP,2,2,0,152,152,0.19983,0.19983,15.1871,15.1871,0.506821,0.498303,0.121496,76,0,2.5,Normal Traffic
197,1,192.168.0.6,9,192.168.0.1,9,UDP,2,0,2,152,0,2,0,152,0,0,0,0,76,1,0,Normal Traffic
