FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,180,192.168.0.7,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.000935474,0.000860699,0.0641777,76,0,0,Normal Traffic
2,180.001,192.168.0.7,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.000660827,0.000164961,0.0641776,76,0,0,Normal Traffic
3,180.001,192.168.0.7,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.00177131,0.00103786,0.0641775,76,0,0,Normal Traffic
4,180.001,192.168.0.7,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00130083,0.000312026,0.0641774,76,0,0,Normal Traffic
5,180.001,192.168.0.7,9,192.168.0.6,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00167636,0.000431749,0.0641773,76,0,0,Normal Traffic
6,180.001,192.168.0.7,9,192.168.0.8,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02216,8.02216,0.00174188,0.000292563,0.0641773,76,0,0,Normal Traffic
7,180.002,192.168.0.7,9,192.168.0.9,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02214,8.02214,0.00264902,0.000955463,0.0641771,76,0,0,Normal Traffic
8,180,192.168.0.8,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.000752571,0.000679266,0.0641777,76,0,0,Normal Traffic
9,180.001,192.168.0.8,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.00116922,0.000768139,0.0641775,76,0,0,Normal Traffic
10,180.001,192.168.0.8,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00098289,0.0003567,0.0641775,76,0,0,Normal Traffic
11,180.001,192.168.0.8,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00164933,0.000812783,0.0641774,76,0,0,Normal Traffic
12,180.001,192.168.0.8,9,192.168.0.6,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02216,8.02216,0.00144736,0.000388433,0.0641773,76,0,0,Normal Traffic
13,180.002,192.168.0.8,9,192.168.0.7,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02215,8.02215,0.00142166,0.000149088,0.0641772,76,0,0,Normal Traffic
14,180.002,192.168.0.8,9,192.168.0.9,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02214,8.02214,0.00195524,0.000429314,0.0641771,76,0,0,Normal Traffic
15,180,192.168.0.1,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.000479255,0.000405513,0.0641777,76,0,0,Normal Traffic
16,180,192.168.0.1,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.000576831,0.000291833,0.0641777,76,0,0,Normal Traffic
17,180.001,192.168.0.1,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.00119788,0.000692343,0.0641776,76,0,0,Normal Traffic
18,180.001,192.168.0.1,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.00138638,0.000640275,0.0641775,76,0,0,Normal Traffic
19,180.001,192.168.0.1,9,192.168.0.6,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00131101,0.000326803,0.0641774,76,0,0,Normal Traffic
20,180.001,192.168.0.1,9,192.168.0.7,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00188858,0.000661026,0.0641773,76,0,0,Normal Traffic
21,180.002,192.168.0.1,9,192.168.0.8,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02215,8.02215,0.00213899,0.000692863,0.0641772,76,0,0,Normal Traffic
22,180.002,192.168.0.1,9,192.168.0.9,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02214,8.02214,0.00218411,0.000484682,0.0641771,76,0,0,Normal Traffic
23,180,192.168.0.6,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.000361346,0.000286802,0.0641777,76,0,0,Normal Traffic
24,180.001,192.168.0.6,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.000901131,0.000578848,0.0641776,76,0,0,Normal Traffic
25,180.001,192.168.0.6,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.000678324,9.35837e-05,0.0641775,76,0,0,Normal Traffic
26,180.001,192.168.0.6,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00101656,0.000203587,0.0641774,76,0,0,Normal Traffic
27,180.001,192.168.0.6,9,192.168.0.7,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02216,8.02216,0.00124185,0.000220382,0.0641773,76,0,0,Normal Traffic
28,180.002,192.168.0.6,9,192.168.0.8,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02215,8.02215,0.00160881,0.000368786,0.0641772,76,0,0,Normal Traffic
29,180.002,192.168.0.6,9,192.168.0.9,9,UDP,18,18,0,1368,1368,0.099999,0.099999,7.59992,7.59992,0.00184348,0.000333983,0.0607994,76,0,0,Normal Traffic
30,180,192.168.0.9,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.000465291,0.000417352,0.0641776,76,0,0,Normal Traffic
31,180.001,192.168.0.9,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.00108826,0.000761668,0.0641775,76,0,0,Normal Traffic
32,180.001,192.168.0.9,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00127774,0.000726303,0.0641774,76,0,0,Normal Traffic
33,180.001,192.168.0.9,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00161018,0.000799232,0.0641773,76,0,0,Normal Traffic
34,180.002,192.168.0.9,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02215,8.02215,0.00174523,0.000776832,0.0641772,76,0,0,Normal Traffic
35,180.002,192.168.0.9,9,192.168.0.6,9,UDP,18,18,0,1368,1368,0.099999,0.099999,7.59993,7.59993,0.00219055,0.000984872,0.0607994,76,0,0,Normal Traffic
36,180.002,192.168.0.9,9,192.168.0.7,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02214,8.02214,0.00218416,0.000787936,0.0641771,76,0,0,Normal Traffic
37,180.002,192.168.0.9,9,192.168.0.8,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02212,8.02212,0.00219208,0.000569078,0.064177,76,0,0,Normal Traffic
38,180,192.168.0.3,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.000243509,0.000169643,0.0641778,76,0,0,Normal Traffic
39,180,192.168.0.3,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.0222,8.0222,0.000814048,0.000420839,0.0641776,76,0,0,Normal Traffic
40,180.001,192.168.0.3,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.000865138,0.00023342,0.0641775,76,0,0,Normal Traffic
41,180.001,192.168.0.3,9,192.168.0.6,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00140041,0.000553394,0.0641775,76,0,0,Normal Traffic
42,180.001,192.168.0.3,9,192.168.0.7,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00164038,0.00055577,0.0641774,76,0,0,Normal Traffic
43,180.001,192.168.0.3,9,192.168.0.8,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00163239,0.000308153,0.0641773,76,0,0,Normal Traffic
44,180.002,192.168.0.3,9,192.168.0.9,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02216,8.02216,0.00199882,0.000429836,0.0641772,76,0,0,Normal Traffic
