FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,0.261709,192.168.0.100,9,10.10.0.7,9,UDP,1432,5,1440,108832,380,5471.72,19.1052,415851,1451.99,0.00666833,0.0047538,11.6159,76,1.00559,0.2,Sybil Attack
2,1.0031,192.168.0.100,9,10.10.0.11,9,UDP,1752,3,1765,133152,228,1746.58,2.99073,132740,227.295,0.340555,0.332561,1.81836,76,1.00742,0,Sybil Attack
3,0.261742,192.168.0.101,9,10.10.0.7,9,UDP,1432,5,1440,108832,380,5471.04,19.1028,415799,1451.81,0.00670115,0.0047538,11.6145,76,1.00559,0.2,Sybil Attack
4,1.00313,192.168.0.101,9,10.10.0.11,9,UDP,1752,3,1765,133152,228,1746.53,2.99063,132736,227.288,0.340588,0.332561,1.8183,76,1.00742,0,Sybil Attack
5,0.261775,192.168.0.102,9,10.10.0.7,9,UDP,1432,5,1440,108832,380,5470.35,19.1004,415747,1451.63,0.00672772,0.00475396,11.613,76,1.00559,0.2,Sybil Attack
6,1.00317,192.168.0.102,9,10.10.0.11,9,UDP,1752,3,1765,133152,228,1746.47,2.99053,132732,227.28,0.340621,0.332561,1.81824,76,1.00742,0,Sybil Attack
7,0.261808,192.168.0.103,9,10.10.0.7,9,UDP,1432,3,1442,108832,228,5469.66,11.4588,415694,870.868,0.00793521,0.0038287,6.96695,76,1.00698,0.333333,Sybil Attack
8,0.263243,192.168.0.103,9,10.10.0.11,9,UDP,1752,1,1767,133152,76,6655.44,3.79877,505813,288.706,0.0132434,0,2.30965,76,1.00856,0,Sybil Attack
9,0.26184,192.168.0.104,9,10.10.0.7,9,UDP,1432,3,1442,108832,228,5468.98,11.4574,415642,870.759,0.00795709,0.0038287,6.96607,76,1.00698,0.333333,Sybil Attack
10,0.263276,192.168.0.104,9,10.10.0.11,9,UDP,1752,1,1767,133152,76,6654.61,3.79829,505750,288.67,0.0132762,0,2.30936,76,1.00856,0,Sybil Attack
11,0.261873,192.168.0.105,9,10.10.0.7,9,UDP,1432,3,1442,108832,228,5468.29,11.4559,415590,870.65,0.00797897,0.0038287,6.9652,76,1.00698,0.333333,Sybil Attack
12,0.263309,192.168.0.105,9,10.10.0.11,9,UDP,1752,1,1767,133152,76,6653.78,3.79782,505687,288.634,0.013309,0,2.30907,76,1.00856,0,Sybil Attack
13,0.261906,192.168.0.106,9,10.10.0.7,9,UDP,1432,3,1442,108832,228,5467.61,11.4545,415538,870.541,0.00800085,0.0038287,6.96433,76,1.00698,0.333333,Sybil Attack
14,0.263342,192.168.0.106,9,10.10.0.11,9,UDP,1752,1,1767,133152,76,6652.95,3.79735,505624,288.598,0.0133419,0,2.30879,76,1.00856,0,Sybil Attack
15,0.261939,192.168.0.107,9,10.10.0.7,9,UDP,1432,3,1442,108832,228,5466.92,11.4531,415486,870.432,0.00802273,0.0038287,6.96345,76,1.00698,0.333333,Sybil Attack
16,0.263375,192.168.0.107,9,10.10.0.11,9,UDP,1752,1,1767,133152,76,6652.12,3.79687,505561,288.562,0.0133747,0,2.3085,76,1.00856,0,Sybil Attack
17,0.261972,192.168.0.108,9,10.10.0.7,9,UDP,1432,3,1442,108832,228,5466.24,11.4516,415434,870.323,0.00804461,0.0038287,6.96258,76,1.00698,0.333333,Sybil Attack
18,0.263407,192.168.0.108,9,10.10.0.11,9,UDP,1752,1,1771,133152,76,6651.29,3.7964,505498,288.526,0.0134075,0,2.30821,76,1.01084,0,Sybil Attack
19,0.262006,192.168.0.109,9,10.10.0.7,9,UDP,1432,3,1442,108832,228,5465.52,11.4501,415380,870.209,0.00806797,0.00382815,6.96167,76,1.00698,0.333333,Sybil Attack
20,0.26344,192.168.0.109,9,10.10.0.11,9,UDP,1752,1,1771,133152,76,6650.46,3.79593,505435,288.49,0.0134403,0,2.30792,76,1.01084,0,Sybil Attack
48,1.75778,192.168.0.100,9,10.10.0.2,9,UDP,1520,26,1505,115520,1976,864.728,14.7914,65719.3,1124.15,0.00461927,0.00421693,8.99317,76,0.990132,0.961538,Sybil Attack
49,0.75595,192.168.0.100,9,10.10.0.15,9,UDP,1328,8,1345,100928,608,1756.73,10.5827,133511,804.286,0.00447401,0.00337255,6.43429,76,1.0128,0,Sybil Attack
50,1.75605,192.168.0.100,9,10.10.0.16,9,UDP,1344,25,1330,102144,1900,765.354,14.2365,58166.9,1081.97,0.00555013,0.00324034,8.65578,76,0.989583,1.12,Sybil Attack
51,1.75781,192.168.0.101,9,10.10.0.2,9,UDP,1520,26,1505,115520,1976,864.712,14.7911,65718.1,1124.13,0.00465209,0.00421693,8.993,76,0.990132,0.961538,Sybil Attack
52,0.755983,192.168.0.101,9,10.10.0.15,9,UDP,1328,8,1345,100928,608,1756.65,10.5823,133506,804.251,0.00450683,0.00337255,6.43401,76,1.0128,0,Sybil Attack
53,1.75608,192.168.0.101,9,10.10.0.16,9,UDP,1344,25,1330,102144,1900,765.339,14.2362,58165.8,1081.95,0.00567288,0.00342018,8.65562,76,0.989583,1.12,Sybil Attack
54,1.75784,192.168.0.102,9,10.10.0.2,9,UDP,1520,26,1505,115520,1976,864.696,14.7908,65716.9,1124.1,0.00468497,0.004217,8.99283,76,0.990132,0.961538,Sybil Attack
55,0.756016,192.168.0.102,9,10.10.0.15,9,UDP,1328,8,1345,100928,608,1756.58,10.5818,133500,804.216,0.00453975,0.00337275,6.43373,76,1.0128,0,Sybil Attack
56,1.75612,192.168.0.102,9,10.10.0.16,9,UDP,1344,25,1330,102144,1900,765.325,14.236,58164.7,1081.93,0.00570576,0.00342015,8.65546,76,0.989583,1.12,Sybil Attack
57,1.75788,192.168.0.103,9,10.10.0.2,9,UDP,1520,25,1506,115520,1900,864.68,14.2217,65715.6,1080.85,0.00464991,0.00395176,8.6468,76,0.990789,1,Sybil Attack
58,0.756048,192.168.0.103,9,10.10.0.15,9,UDP,1328,7,1346,100928,532,1756.5,9.25867,133494,703.659,0.0034497,0.000782776,5.62927,76,1.01355,0,Sybil Attack
59,1.75615,192.168.0.103,9,10.10.0.16,9,UDP,1344,23,1332,102144,1748,765.311,13.0968,58163.6,995.359,0.00566455,0.00369818,7.96288,76,0.991071,1.21739,Sybil Attack
60,1.75791,192.168.0.104,9,10.10.0.2,9,UDP,1520,25,1506,115520,1900,864.663,14.2214,65714.4,1080.83,0.00468141,0.00395176,8.64663,76,0.990789,1,Sybil Attack
61,0.756081,192.168.0.104,9,10.10.0.15,9,UDP,1328,7,1346,100928,532,1756.42,9.25826,133488,703.628,0.00348252,0.000782776,5.62902,76,1.01355,0,Sybil Attack
62,1.75618,192.168.0.104,9,10.10.0.16,9,UDP,1344,23,1332,102144,1748,765.296,13.0966,58162.5,995.341,0.00569737,0.00369818,7.96273,76,0.991071,1.21739,Sybil Attack
63,1.75794,192.168.0.105,9,10.10.0.2,9,UDP,1520,25,1506,115520,1900,864.647,14.2212,65713.2,1080.81,0.00471292,0.00395176,8.64647,76,0.990789,1,Sybil Attack
64,0.756114,192.168.0.105,9,10.10.0.15,9,UDP,1328,7,1346,100928,532,1756.35,9.25786,133483,703.598,0.00351534,0.000782776,5.62878,76,1.01355,0,Sybil Attack
65,1.75622,192.168.0.105,9,10.10.0.16,9,UDP,1344,23,1332,102144,1748,765.282,13.0963,58161.4,995.322,0.00573019,0.00369818,7.96258,76,0.991071,1.21739,Sybil Attack
66,1.75798,192.168.0.106,9,10.10.0.2,9,UDP,1520,25,1506,115520,1900,864.631,14.2209,65712,1080.79,0.00474443,0.00395176,8.64631,76,0.990789,1,Sybil Attack
67,0.756147,192.168.0.106,9,10.10.0.15,9,UDP,1328,7,1346,100928,532,1756.27,9.25746,133477,703.567,0.00354816,0.000782776,5.62854,76,1.01355,0,Sybil Attack
68,1.75625,192.168.0.106,9,10.10.0.16,9,UDP,1344,23,1332,102144,1748,765.268,13.0961,58160.4,995.304,0.00576301,0.00369818,7.96243,76,0.991071,1.21739,Sybil Attack
69,1.75801,192.168.0.107,9,10.10.0.2,9,UDP,1520,25,1506,115520,1900,864.615,14.2206,65710.7,1080.77,0.00477593,0.00395176,8.64615,76,0.990789,1,Sybil Attack
70,0.75618,192.168.0.107,9,10.10.0.15,9,UDP,1328,7,1346,100928,532,1756.2,9.25706,133471,703.536,0.00358098,0.000782776,5.62829,76,1.01355,0,Sybil Attack
71,1.75628,192.168.0.107,9,10.10.0.16,9,UDP,1344,23,1332,102144,1748,765.253,13.0959,58159.3,995.285,0.00579583,0.00369818,7.96228,76,0.991071,1.21739,Sybil Attack
72,1.75804,192.168.0.108,9,10.10.0.2,9,UDP,1520,25,1506,115520,1900,864.599,14.2204,65709.5,1080.75,0.00480744,0.00395176,8.64599,76,0.990789,1,Sybil Attack
73,0.756213,192.168.0.108,9,10.10.0.15,9,UDP,1328,7,1350,100928,532,1756.12,9.25666,133465,703.506,0.0036138,0.000782776,5.62805,76,1.01657,0,Sybil Attack
74,1.75631,192.168.0.108,9,10.10.0.16,9,UDP,1344,23,1332,102144,1748,765.239,13.0956,58158.2,995.266,0.00582865,0.00369818,7.96213,76,0.991071,1.21739,Sybil Attack
75,1.75808,192.168.0.109,9,10.10.0.2,9,UDP,1520,25,1506,115520,1900,864.581,14.2201,65708.2,1080.73,0.00484149,0.00395174,8.64581,76,0.990789,1,Sybil Attack
76,0.756248,192.168.0.109,9,10.10.0.15,9,UDP,1328,7,1350,100928,532,1756.04,9.25622,133459,703.473,0.00364967,0.000782776,5.62778,76,1.01657,0,Sybil Attack
77,1.75635,192.168.0.109,9,10.10.0.16,9,UDP,1344,23,1332,102144,1748,765.224,13.0953,58157,995.246,0.00586406,0.00369816,7.96197,76,0.991071,1.21739,Sybil Attack
93,14340,10.10.0.13,9,10.10.0.1,9,UDP,144,144,0,10944,10944,0.0100418,0.0100418,0.76318,0.76318,0.00229941,0.00313677,0.00610544,76,0,0.520833,Normal Traffic
