FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,1.83057,192.168.0.100,9,192.168.0.1,9,UDP,63,24,39,4788,1824,34.4155,13.1107,2615.58,996.412,0.0113787,0.00837205,7.9713,76,0.619048,0.541667,Sybil Attack
2,5.48428,192.168.0.100,9,192.168.0.3,9,UDP,90,42,48,6840,3192,16.4106,7.65826,1247.2,582.028,0.0978004,0.0897766,4.65622,76,0.533333,0,Sybil Attack
3,2.72939,192.168.0.100,9,192.168.0.6,9,UDP,90,51,39,6840,3876,32.9744,18.6855,2506.05,1420.1,0.0596665,0.0524303,11.3608,76,0.433333,0.117647,Sybil Attack
4,2.8163,192.168.0.100,9,192.168.0.7,9,UDP,90,34,56,6840,2584,31.9568,12.0726,2428.72,917.516,0.0500387,0.0745852,7.34013,76,0.622222,0,Sybil Attack
5,2.91234,192.168.0.100,9,192.168.0.8,9,UDP,90,54,36,6840,4104,30.903,18.5418,2348.63,1409.18,0.0682681,0.0538744,11.2734,76,0.4,0.462963,Sybil Attack
6,3.10647,192.168.0.100,9,192.168.0.9,9,UDP,90,21,69,6840,1596,28.9718,6.76008,2201.85,513.766,0.429078,0.402564,4.11013,76,0.766667,0,Sybil Attack
7,3.96288,192.168.0.100,9,192.168.0.11,9,UDP,126,43,83,9576,3268,31.7951,10.8507,2416.42,824.653,0.168224,0.26465,6.59722,76,0.65873,0,Sybil Attack
8,3.96433,192.168.0.100,9,192.168.0.13,9,UDP,112,42,70,8512,3192,28.2519,10.5945,2147.15,805.18,0.162914,0.22171,6.44144,76,0.625,0.190476,Sybil Attack
9,3.14348,192.168.0.100,9,192.168.0.14,9,UDP,56,16,40,4256,1216,17.8147,5.0899,1353.91,386.832,0.517284,0.2269,3.09466,76,0.714286,0.125,Sybil Attack
10,3.07266,192.168.0.100,9,192.168.0.18,9,UDP,32,7,25,2432,532,10.4144,2.27816,791.496,173.14,0.672974,0.614244,1.38512,76,0.78125,0.142857,Sybil Attack
11,2.7751,192.168.0.100,9,192.168.0.20,9,UDP,80,32,48,6080,2432,28.8278,11.5311,2190.91,876.365,0.0677122,0.0797684,7.01092,76,0.6,0.53125,Sybil Attack
12,1.8306,192.168.0.101,9,192.168.0.1,9,UDP,63,24,39,4788,1824,34.4149,13.1104,2615.53,996.394,0.0114156,0.00836932,7.97115,76,0.619048,0.541667,Sybil Attack
13,5.48434,192.168.0.101,9,192.168.0.3,9,UDP,90,42,48,6840,3192,16.4104,7.65817,1247.19,582.021,0.0981715,0.0894745,4.65616,76,0.533333,0,Sybil Attack
14,2.81497,192.168.0.101,9,192.168.0.6,9,UDP,90,51,39,6840,3876,31.9719,18.1174,2429.87,1376.92,0.0621336,0.0541115,11.0154,76,0.433333,0.117647,Sybil Attack
15,2.81637,192.168.0.101,9,192.168.0.7,9,UDP,90,34,56,6840,2584,31.9561,12.0723,2428.66,917.494,0.050311,0.0750459,7.33996,76,0.622222,0,Sybil Attack
16,2.91237,192.168.0.101,9,192.168.0.8,9,UDP,90,54,36,6840,4104,30.9026,18.5416,2348.6,1409.16,0.068304,0.0538731,11.2733,76,0.4,0.462963,Sybil Attack
17,3.1065,192.168.0.101,9,192.168.0.9,9,UDP,90,21,69,6840,1596,28.9715,6.76001,2201.83,513.761,0.42912,0.402561,4.11009,76,0.766667,0,Sybil Attack
18,3.96291,192.168.0.101,9,192.168.0.11,9,UDP,126,43,83,9576,3268,31.7948,10.8506,2416.4,824.646,0.168687,0.264649,6.59717,76,0.65873,0,Sybil Attack
19,3.96436,192.168.0.101,9,192.168.0.13,9,UDP,112,43,69,8512,3268,28.2517,10.8466,2147.13,824.344,0.16003,0.216813,6.59475,76,0.616071,0.186047,Sybil Attack
