FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,0.600073,192.168.0.25,9,192.168.0.6,9,UDP,2,2,0,152,152,3.33293,3.33293,253.302,253.302,0.00114546,0.00107228,2.02642,76,0,0,Normal Traffic
2,0.600106,192.168.0.26,9,192.168.0.6,9,UDP,2,2,0,152,152,3.33274,3.33274,253.289,253.289,0.00117828,0.00107228,2.02631,76,0,0,Normal Traffic
3,0.600139,192.168.0.27,9,192.168.0.6,9,UDP,2,2,0,152,152,3.33256,3.33256,253.275,253.275,0.0012115,0.00107267,2.0262,76,0,0,Normal Traffic
4,0.600172,192.168.0.28,9,192.168.0.6,9,UDP,2,1,1,152,76,3.33238,1.66619,253.261,126.63,0.000171645,0,1.01304,76,0.5,0,Normal Traffic
5,0.600208,192.168.0.29,9,192.168.0.6,9,UDP,2,1,1,152,76,3.33218,1.66609,253.246,126.623,0.000207613,0,1.01298,76,0.5,0,Normal Traffic
6,180,192.168.0.7,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.00105621,0.000982266,0.0641777,76,0,0,Normal Traffic
7,180,192.168.0.7,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.000426964,0.000157077,0.0641776,76,0,0,Normal Traffic
8,180.001,192.168.0.7,9,192.168.0.3,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02219,8.02219,0.00144281,0.000941884,0.0641775,76,0,0,Normal Traffic
9,180.001,192.168.0.7,9,192.168.0.4,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02218,8.02218,0.00108789,0.000342342,0.0641774,76,0,0,Normal Traffic
10,180.001,192.168.0.7,9,192.168.0.5,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02217,8.02217,0.00178735,0.000832866,0.0641773,76,0,0,Normal Traffic
11,180.001,192.168.0.7,9,192.168.0.6,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02216,8.02216,0.00157423,0.00039245,0.0641772,76,0,0,Normal Traffic
12,180.002,192.168.0.7,9,192.168.0.8,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02214,8.02214,0.00234688,0.000885468,0.0641772,76,0,0,Normal Traffic
13,180.002,192.168.0.7,9,192.168.0.9,9,UDP,19,19,0,1444,1444,0.105554,0.105554,8.02214,8.02214,0.00222726,0.000526094,0.0641771,76,0,0,Normal Traffic
14,180,192.168.0.8,9,192.168.0.1,9,UDP,19,19,0,1444,1444,0.105556,0.105556,8.02222,8.02222,0.00084876,0.000774958,0.0641777,76,0,0,Normal Traffic
15,180,192.168.0.8,9,192.168.0.2,9,UDP,19,19,0,1444,1444,0.105555,0.105555,8.02221,8.02221,0.0529684,0.0526723,0.0641776,76,0,0,Normal Traffic
