FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,3319.76,192.168.0.100,9,10.10.0.1,9,UDP,504,454,50,38304,34504,0.151818,0.136757,11.5382,10.3935,0.0109052,0.0150771,0.0831482,76,0.0992063,0.0440529,Sybil Attack
2,3219.76,192.168.0.100,9,10.10.0.10,9,UDP,588,531,57,44688,40356,0.182623,0.164919,13.8793,12.5339,0.017796,0.0132769,0.100271,76,0.0969388,0.0225989,Sybil Attack
3,3193.76,192.168.0.100,9,10.10.0.16,9,UDP,672,642,30,51072,48792,0.21041,0.201017,15.9912,15.2773,0.00840031,0.00522314,0.122218,76,0.0446429,0.0451713,Sybil Attack
4,3319.76,192.168.0.101,9,10.10.0.1,9,UDP,504,454,50,38304,34504,0.151818,0.136757,11.5382,10.3935,0.010938,0.0150771,0.0831482,76,0.0992063,0.0440529,Sybil Attack
5,3219.76,192.168.0.101,9,10.10.0.10,9,UDP,588,531,57,44688,40356,0.182623,0.164919,13.8793,12.5339,0.0178288,0.0132769,0.100271,76,0.0969388,0.0225989,Sybil Attack
6,3193.76,192.168.0.101,9,10.10.0.16,9,UDP,672,642,30,51072,48792,0.21041,0.201017,15.9912,15.2773,0.00843313,0.00522314,0.122218,76,0.0446429,0.0451713,Sybil Attack
7,3319.76,192.168.0.102,9,10.10.0.1,9,UDP,504,454,50,38304,34504,0.151818,0.136757,11.5382,10.3935,0.0109708,0.0150771,0.0831482,76,0.0992063,0.0440529,Sybil Attack
8,3219.76,192.168.0.102,9,10.10.0.10,9,UDP,588,531,57,44688,40356,0.182623,0.164919,13.8793,12.5339,0.0178617,0.0132769,0.100271,76,0.0969388,0.0225989,Sybil Attack
9,3193.76,192.168.0.102,9,10.10.0.16,9,UDP,672,642,30,51072,48792,0.21041,0.201017,15.9912,15.2773,0.00846595,0.00522314,0.122218,76,0.0446429,0.0451713,Sybil Attack
10,3319.76,192.168.0.103,9,10.10.0.1,9,UDP,504,450,54,38304,34200,0.151818,0.135552,11.5382,10.302,0.00436409,0.00182206,0.0824156,76,0.107143,0.0444444,Sybil Attack
11,3219.76,192.168.0.103,9,10.10.0.10,9,UDP,588,525,63,44688,39900,0.182623,0.163056,13.8793,12.3922,0.00461723,0.0019278,0.0991379,76,0.107143,0.0228571,Sybil Attack
12,3193.76,192.168.0.103,9,10.10.0.16,9,UDP,672,635,37,51072,48260,0.21041,0.198825,15.9912,15.1107,0.00528086,0.00205345,0.120886,76,0.0550595,0.0456693,Sybil Attack
13,3319.76,192.168.0.104,9,10.10.0.1,9,UDP,504,450,54,38304,34200,0.151818,0.135552,11.5382,10.302,0.00439691,0.00182206,0.0824156,76,0.107143,0.0444444,Sybil Attack
14,3219.76,192.168.0.104,9,10.10.0.10,9,UDP,588,525,63,44688,39900,0.182623,0.163056,13.8793,12.3922,0.00465005,0.0019278,0.0991379,76,0.107143,0.0228571,Sybil Attack
15,3193.76,192.168.0.104,9,10.10.0.16,9,UDP,672,635,37,51072,48260,0.21041,0.198825,15.9912,15.1107,0.00531368,0.00205345,0.120886,76,0.0550595,0.0456693,Sybil Attack
16,3319.76,192.168.0.105,9,10.10.0.1,9,UDP,504,450,54,38304,34200,0.151818,0.135552,11.5382,10.302,0.00442973,0.00182206,0.0824156,76,0.107143,0.0444444,Sybil Attack
17,3219.76,192.168.0.105,9,10.10.0.10,9,UDP,588,525,63,44688,39900,0.182623,0.163056,13.8793,12.3922,0.00468287,0.0019278,0.0991379,76,0.107143,0.0228571,Sybil Attack
18,3193.76,192.168.0.105,9,10.10.0.16,9,UDP,672,635,37,51072,48260,0.21041,0.198825,15.9912,15.1107,0.0053465,0.00205345,0.120886,76,0.0550595,0.0456693,Sybil Attack
19,3319.76,192.168.0.106,9,10.10.0.1,9,UDP,504,450,54,38304,34200,0.151818,0.135552,11.5382,10.302,0.00446255,0.00182206,0.0824156,76,0.107143,0.0444444,Sybil Attack
20,3219.76,192.168.0.106,9,10.10.0.10,9,UDP,588,525,63,44688,39900,0.182623,0.163056,13.8793,12.3922,0.00471569,0.0019278,0.0991379,76,0.107143,0.0228571,Sybil Attack
21,3193.76,192.168.0.106,9,10.10.0.16,9,UDP,672,635,37,51072,48260,0.21041,0.198825,15.9912,15.1107,0.00537932,0.00205345,0.120886,76,0.0550595,0.0456693,Sybil Attack
22,3319.76,192.168.0.107,9,10.10.0.1,9,UDP,504,450,54,38304,34200,0.151818,0.135552,11.5382,10.302,0.00449537,0.00182206,0.0824156,76,0.107143,0.0444444,Sybil Attack
23,3219.76,192.168.0.107,9,10.10.0.10,9,UDP,588,525,63,44688,39900,0.182623,0.163056,13.8793,12.3922,0.00474851,0.0019278,0.0991379,76,0.107143,0.0228571,Sybil Attack
24,3193.76,192.168.0.107,9,10.10.0.16,9,UDP,672,635,37,51072,48260,0.21041,0.198825,15.9912,15.1107,0.00541214,0.00205345,0.120886,76,0.0550595,0.0456693,Sybil Attack
25,3319.76,192.168.0.108,9,10.10.0.1,9,UDP,504,450,54,38304,34200,0.151818,0.135552,11.5382,10.302,0.00452819,0.00182206,0.0824156,76,0.107143,0.0444444,Sybil Attack
26,3219.76,192.168.0.108,9,10.10.0.10,9,UDP,588,525,63,44688,39900,0.182623,0.163056,13.8793,12.3922,0.00478133,0.0019278,0.0991379,76,0.107143,0.0228571,Sybil Attack
27,3193.76,192.168.0.108,9,10.10.0.16,9,UDP,672,635,37,51072,48260,0.21041,0.198825,15.9912,15.1107,0.00544496,0.00205345,0.120886,76,0.0550595,0.0456693,Sybil Attack
28,3319.76,192.168.0.109,9,10.10.0.1,9,UDP,504,450,54,38304,34200,0.151818,0.135552,11.5382,10.302,0.00456401,0.00182205,0.0824156,76,0.107143,0.0444444,Sybil Attack
