FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,3231.77,192.168.0.100,9,10.10.0.1,9,UDP,380,294,86,28880,22344,0.117583,0.0909719,8.93629,6.91386,0.0104359,0.00198141,0.0553109,76,0.226316,0.037415,Sybil Attack
2,3231.77,192.168.0.101,9,10.10.0.1,9,UDP,380,294,86,28880,22344,0.117583,0.0909719,8.93629,6.91386,0.0104687,0.00198141,0.0553109,76,0.226316,0.037415,Sybil Attack
3,3231.77,192.168.0.102,9,10.10.0.1,9,UDP,380,294,86,28880,22344,0.117583,0.0909719,8.93629,6.91386,0.0105015,0.00198142,0.0553109,76,0.226316,0.037415,Sybil Attack
4,3231.77,192.168.0.103,9,10.10.0.1,9,UDP,380,279,101,28880,21204,0.117583,0.0863305,8.93629,6.56112,0.0103491,0.0018819,0.0524889,76,0.265789,0.0394265,Sybil Attack
5,3231.77,192.168.0.104,9,10.10.0.1,9,UDP,380,279,101,28880,21204,0.117583,0.0863305,8.93629,6.56112,0.0103819,0.0018819,0.0524889,76,0.265789,0.0394265,Sybil Attack
6,3231.77,192.168.0.105,9,10.10.0.1,9,UDP,380,279,101,28880,21204,0.117583,0.0863305,8.93629,6.56112,0.0104147,0.0018819,0.0524889,76,0.265789,0.0394265,Sybil Attack
7,3231.77,192.168.0.106,9,10.10.0.1,9,UDP,380,279,101,28880,21204,0.117583,0.0863305,8.93629,6.56112,0.0104476,0.0018819,0.0524889,76,0.265789,0.0394265,Sybil Attack
8,3231.77,192.168.0.107,9,10.10.0.1,9,UDP,380,279,101,28880,21204,0.117583,0.0863305,8.93629,6.56112,0.0104804,0.0018819,0.0524889,76,0.265789,0.0394265,Sybil Attack
9,3231.77,192.168.0.108,9,10.10.0.1,9,UDP,380,279,101,28880,21204,0.117583,0.0863305,8.93629,6.56112,0.0105132,0.0018819,0.0524889,76,0.265789,0.0394265,Sybil Attack
10,3231.77,192.168.0.109,9,10.10.0.1,9,UDP,380,279,101,28880,21204,0.117583,0.0863305,8.93629,6.56112,0.010549,0.0018819,0.0524889,76,0.265789,0.0394265,Sybil Attack
11,3525,10.10.0.1,9,10.10.0.2,9,UDP,41,41,0,3116,3116,0.0116312,0.0116312,0.883972,0.883972,0.000282582,0.000239688,0.00707177,76,0,0.0243902,Normal Traffic
12,3450,10.10.0.1,9,10.10.0.3,9,UDP,68,68,0,5168,5168,0.0197101,0.0197101,1.49797,1.49797,0.000619946,0.000931837,0.0119838,76,0,0.0588235,Normal Traffic
13,3495,10.10.0.1,9,10.10.0.4,9,UDP,57,57,0,4332,4332,0.016309,0.016309,1.23948,1.23948,0.000600534,0.000906665,0.00991587,76,0,0.122807,Normal Traffic
14,3445,10.10.0.1,9,10.10.0.5,9,UDP,61,61,0,4636,4636,0.0177068,0.0177068,1.34572,1.34572,0.000170867,8.25621e-05,0.0107657,76,0,0,Normal Traffic
15,3445,10.10.0.5,9,10.10.0.1,9,UDP,61,61,0,4636,4636,0.0177068,0.0177068,1.34572,1.34572,0.000235959,0.000233831,0.0107657,76,0,0.0163934,Normal Traffic
16,3475,10.10.0.5,9,10.10.0.3,9,UDP,67,67,0,5092,5092,0.0192806,0.0192806,1.46532,1.46532,0.000196825,0.000137757,0.0117226,76,0,0.0298507,Normal Traffic
17,3395,10.10.0.5,9,10.10.0.6,9,UDP,50,50,0,3800,3800,0.0147275,0.0147275,1.11929,1.11929,0.00067777,0.000827333,0.00895434,76,0,0,Normal Traffic
18,3450,10.10.0.3,9,10.10.0.1,9,UDP,68,68,0,5168,5168,0.0197101,0.0197101,1.49797,1.49797,0.000414989,0.000628423,0.0119838,76,0,0.0588235,Normal Traffic
19,3575,10.10.0.3,9,10.10.0.4,9,UDP,56,56,0,4256,4256,0.0156643,0.0156643,1.19049,1.19049,0.00158488,0.00240596,0.00952392,76,0,0.0714286,Normal Traffic
20,3475,10.10.0.3,9,10.10.0.5,9,UDP,67,67,0,5092,5092,0.0192806,0.0192806,1.46532,1.46532,0.000307851,0.000248804,0.0117226,76,0,0,Normal Traffic
21,3560,10.10.0.3,9,10.10.0.6,9,UDP,58,58,0,4408,4408,0.0162921,0.0162921,1.2382,1.2382,0.000248015,0.000185469,0.00990562,76,0,0,Normal Traffic
22,3560,10.10.0.6,9,10.10.0.3,9,UDP,58,58,0,4408,4408,0.0162921,0.0162921,1.2382,1.2382,0.000470515,0.000714203,0.00990562,76,0,0.0689655,Normal Traffic
23,3560,10.10.0.6,9,10.10.0.4,9,UDP,52,52,0,3952,3952,0.0146067,0.0146067,1.11011,1.11011,0.00161769,0.00293147,0.0088809,76,0,0.0384615,Normal Traffic
24,3395,10.10.0.6,9,10.10.0.5,9,UDP,50,50,0,3800,3800,0.0147275,0.0147275,1.11929,1.11929,0.00133565,0.00242403,0.00895434,76,0,0,Normal Traffic
25,3495,10.10.0.4,9,10.10.0.1,9,UDP,57,57,0,4332,4332,0.016309,0.016309,1.23948,1.23948,0.000247253,0.000176834,0.00991588,76,0,0.0350877,Normal Traffic
26,3575,10.10.0.4,9,10.10.0.3,9,UDP,56,56,0,4256,4256,0.0156643,0.0156643,1.19049,1.19049,0.000629951,0.00104652,0.00952392,76,0,0.0357143,Normal Traffic
27,3560,10.10.0.4,9,10.10.0.6,9,UDP,52,51,1,3952,3876,0.0146067,0.0143258,1.11011,1.08876,0.00287113,0.00541089,0.00871011,76,0.0192308,0.0392157,Normal Traffic
28,3525,10.10.0.2,9,10.10.0.1,9,UDP,41,41,0,3116,3116,0.0116312,0.0116312,0.883972,0.883972,0.000257628,0.000183141,0.00707177,76,0,0,Normal Traffic
29,1209.77,192.168.0.100,9,10.10.0.2,9,UDP,608,528,80,46208,40128,0.502574,0.436446,38.1956,33.1699,0.0296495,0.0245646,0.265359,76,0.131579,0.0511364,Sybil Attack
30,1209.77,192.168.0.101,9,10.10.0.2,9,UDP,608,528,80,46208,40128,0.502574,0.436446,38.1956,33.1699,0.0296823,0.0245646,0.265359,76,0.131579,0.0511364,Sybil Attack
31,1209.77,192.168.0.102,9,10.10.0.2,9,UDP,608,528,80,46208,40128,0.502574,0.436446,38.1956,33.1699,0.0297151,0.0245646,0.265359,76,0.131579,0.0511364,Sybil Attack
32,1209.77,192.168.0.103,9,10.10.0.2,9,UDP,608,509,99,46208,38684,0.502574,0.42074,38.1956,31.9763,0.0108304,0.00195094,0.25581,76,0.162829,0.0530452,Sybil Attack
33,1209.77,192.168.0.104,9,10.10.0.2,9,UDP,608,509,99,46208,38684,0.502574,0.42074,38.1956,31.9763,0.0108632,0.00195094,0.25581,76,0.162829,0.0530452,Sybil Attack
34,1209.77,192.168.0.105,9,10.10.0.2,9,UDP,608,509,99,46208,38684,0.502574,0.42074,38.1956,31.9763,0.010896,0.00195094,0.25581,76,0.162829,0.0530452,Sybil Attack
35,1209.77,192.168.0.106,9,10.10.0.2,9,UDP,608,509,99,46208,38684,0.502574,0.42074,38.1956,31.9763,0.0109289,0.00195094,0.25581,76,0.162829,0.0530452,Sybil Attack
36,1209.77,192.168.0.107,9,10.10.0.2,9,UDP,608,509,99,46208,38684,0.502574,0.42074,38.1956,31.9763,0.0109617,0.00195094,0.25581,76,0.162829,0.0530452,Sybil Attack
37,1209.77,192.168.0.108,9,10.10.0.2,9,UDP,608,509,99,46208,38684,0.502574,0.42074,38.1956,31.9763,0.0109945,0.00195094,0.25581,76,0.162829,0.0530452,Sybil Attack
38,1209.77,192.168.0.109,9,10.10.0.2,9,UDP,608,509,99,46208,38684,0.502574,0.42074,38.1956,31.9762,0.0110303,0.00195093,0.25581,76,0.162829,0.0530452,Sybil Attack
39,3575,10.10.0.1,9,10.10.0.6,9,UDP,51,51,0,3876,3876,0.0142657,0.0142657,1.0842,1.0842,0.000789371,0.00117011,0.00867357,76,0,0.0980392,Normal Traffic
40,3505,10.10.0.5,9,10.10.0.4,9,UDP,53,53,0,4028,4028,0.0151213,0.0151213,1.14922,1.14922,0.000291694,0.000345937,0.00919372,76,0,0.0377358,Normal Traffic
41,3575,10.10.0.6,9,10.10.0.1,9,UDP,51,51,0,3876,3876,0.0142657,0.0142657,1.0842,1.0842,0.00141115,0.00252769,0.00867357,76,0,0,Normal Traffic
42,3560,10.10.0.6,9,10.10.0.2,9,UDP,67,67,0,5092,5092,0.0188202,0.0188202,1.43034,1.43034,0.000244148,0.000306377,0.0114427,76,0,0.0298507,Normal Traffic
43,3505,10.10.0.4,9,10.10.0.5,9,UDP,53,53,0,4028,4028,0.0151213,0.0151213,1.14922,1.14922,0.000306361,0.00028361,0.00919372,76,0,0.0188679,Normal Traffic
44,3560,10.10.0.2,9,10.10.0.6,9,UDP,67,67,0,5092,5092,0.0188202,0.0188202,1.43034,1.43034,0.000186716,0.00014459,0.0114427,76,0,0,Normal Traffic
45,3182.77,192.168.0.100,9,10.10.0.3,9,UDP,380,308,72,28880,23408,0.119393,0.096771,9.07385,7.3546,0.00988754,0.00177827,0.0588368,76,0.189474,0,Sybil Attack
46,3182.77,192.168.0.101,9,10.10.0.3,9,UDP,380,308,72,28880,23408,0.119393,0.096771,9.07385,7.3546,0.00992036,0.00177827,0.0588368,76,0.189474,0,Sybil Attack
47,3182.77,192.168.0.102,9,10.10.0.3,9,UDP,380,308,72,28880,23408,0.119393,0.096771,9.07385,7.3546,0.00995322,0.00177828,0.0588368,76,0.189474,0,Sybil Attack
48,3182.77,192.168.0.103,9,10.10.0.3,9,UDP,380,291,89,28880,22116,0.119393,0.0914297,9.07385,6.94866,0.00982946,0.00177895,0.0555893,76,0.234211,0,Sybil Attack
49,3182.77,192.168.0.104,9,10.10.0.3,9,UDP,380,291,89,28880,22116,0.119393,0.0914297,9.07385,6.94866,0.00986228,0.00177895,0.0555893,76,0.234211,0,Sybil Attack
50,3182.77,192.168.0.105,9,10.10.0.3,9,UDP,380,291,89,28880,22116,0.119393,0.0914297,9.07385,6.94866,0.0098951,0.00177895,0.0555893,76,0.234211,0,Sybil Attack
51,3182.77,192.168.0.106,9,10.10.0.3,9,UDP,380,291,89,28880,22116,0.119393,0.0914297,9.07385,6.94866,0.00992792,0.00177895,0.0555893,76,0.234211,0,Sybil Attack
52,3182.77,192.168.0.107,9,10.10.0.3,9,UDP,380,291,89,28880,22116,0.119393,0.0914297,9.07385,6.94866,0.00996074,0.00177895,0.0555893,76,0.234211,0,Sybil Attack
53,3182.77,192.168.0.108,9,10.10.0.3,9,UDP,380,291,89,28880,22116,0.119393,0.0914297,9.07385,6.94866,0.00999356,0.00177895,0.0555893,76,0.234211,0,Sybil Attack
54,3182.77,192.168.0.109,9,10.10.0.3,9,UDP,380,291,89,28880,22116,0.119393,0.0914297,9.07385,6.94866,0.0100294,0.00177895,0.0555893,76,0.234211,0,Sybil Attack
55,3394.77,192.168.0.100,9,10.10.0.4,9,UDP,684,544,140,51984,41344,0.201487,0.160247,15.313,12.1787,0.0116564,0.00470866,0.09743,76,0.204678,0.0238971,Sybil Attack
56,3394.77,192.168.0.101,9,10.10.0.4,9,UDP,684,544,140,51984,41344,0.201487,0.160247,15.313,12.1787,0.0116892,0.00470866,0.09743,76,0.204678,0.0238971,Sybil Attack
57,3394.77,192.168.0.102,9,10.10.0.4,9,UDP,684,544,140,51984,41344,0.201487,0.160247,15.313,12.1787,0.0117221,0.00470866,0.09743,76,0.204678,0.0238971,Sybil Attack
58,3394.77,192.168.0.103,9,10.10.0.4,9,UDP,684,534,150,51984,40584,0.201487,0.157301,15.313,11.9549,0.0102437,0.00185141,0.095639,76,0.219298,0.0243446,Sybil Attack
59,3394.77,192.168.0.104,9,10.10.0.4,9,UDP,684,534,150,51984,40584,0.201487,0.157301,15.313,11.9549,0.0102765,0.00185141,0.095639,76,0.219298,0.0243446,Sybil Attack
60,3394.77,192.168.0.105,9,10.10.0.4,9,UDP,684,534,150,51984,40584,0.201487,0.157301,15.313,11.9549,0.0103093,0.00185141,0.095639,76,0.219298,0.0243446,Sybil Attack
61,3394.77,192.168.0.106,9,10.10.0.4,9,UDP,684,534,150,51984,40584,0.201487,0.157301,15.313,11.9549,0.010342,0.00185141,0.095639,76,0.219298,0.0243446,Sybil Attack
62,3394.77,192.168.0.107,9,10.10.0.4,9,UDP,684,534,150,51984,40584,0.201487,0.157301,15.313,11.9549,0.0103748,0.00185141,0.095639,76,0.219298,0.0243446,Sybil Attack
63,3394.77,192.168.0.108,9,10.10.0.4,9,UDP,684,534,150,51984,40584,0.201487,0.157301,15.313,11.9549,0.0104075,0.00185141,0.095639,76,0.219298,0.0243446,Sybil Attack
64,3394.77,192.168.0.109,9,10.10.0.4,9,UDP,684,534,150,51984,40584,0.201487,0.157301,15.313,11.9549,0.0104433,0.00185141,0.095639,76,0.219298,0.0243446,Sybil Attack
163,3460,10.10.0.3,9,10.10.0.2,9,UDP,45,45,0,3420,3420,0.0130058,0.0130058,0.988439,0.988439,0.000448146,0.00058451,0.00790751,76,0,0.0444444,Normal Traffic
164,3460,10.10.0.2,9,10.10.0.3,9,UDP,45,45,0,3420,3420,0.0130058,0.0130058,0.988439,0.988439,0.000320028,0.000406158,0.00790751,76,0,0.0666667,Normal Traffic
165,3460,10.10.0.4,9,10.10.0.2,9,UDP,45,45,0,3420,3420,0.0130058,0.0130058,0.988439,0.988439,0.00033833,0.000386055,0.00790751,76,0,0,Normal Traffic
166,3460,10.10.0.2,9,10.10.0.4,9,UDP,45,45,0,3420,3420,0.0130058,0.0130058,0.988439,0.988439,0.000300611,0.000448954,0.00790751,76,0,0.0444444,Normal Traffic
167,3475,10.10.0.5,9,10.10.0.2,9,UDP,41,41,0,3116,3116,0.0117986,0.0117986,0.896691,0.896691,0.000599084,0.000789221,0.00717353,76,0,0.0487805,Normal Traffic
168,3475,10.10.0.2,9,10.10.0.5,9,UDP,41,41,0,3116,3116,0.0117986,0.0117986,0.896691,0.896691,0.000271529,0.000241978,0.00717353,76,0,0,Normal Traffic
169,2651.77,192.168.0.100,9,10.10.0.5,9,UDP,456,413,43,34656,31388,0.171961,0.155745,13.069,11.8366,0.0166875,0.0116492,0.094693,76,0.0942982,0,Sybil Attack
170,2651.77,192.168.0.101,9,10.10.0.5,9,UDP,456,413,43,34656,31388,0.171961,0.155745,13.069,11.8366,0.0167203,0.0116492,0.094693,76,0.0942982,0,Sybil Attack
171,2651.77,192.168.0.102,9,10.10.0.5,9,UDP,456,413,43,34656,31388,0.171961,0.155745,13.069,11.8366,0.0167531,0.0116492,0.094693,76,0.0942982,0,Sybil Attack
172,2651.77,192.168.0.103,9,10.10.0.5,9,UDP,456,405,51,34656,30780,0.171961,0.152728,13.069,11.6073,0.012014,0.00195337,0.0928588,76,0.111842,0,Sybil Attack
173,2651.77,192.168.0.104,9,10.10.0.5,9,UDP,456,405,51,34656,30780,0.171961,0.152728,13.069,11.6073,0.0120468,0.00195337,0.0928588,76,0.111842,0,Sybil Attack
174,2651.77,192.168.0.105,9,10.10.0.5,9,UDP,456,405,51,34656,30780,0.171961,0.152728,13.069,11.6073,0.0120796,0.00195337,0.0928588,76,0.111842,0,Sybil Attack
175,2651.77,192.168.0.106,9,10.10.0.5,9,UDP,456,405,51,34656,30780,0.171961,0.152728,13.069,11.6073,0.0121124,0.00195337,0.0928588,76,0.111842,0,Sybil Attack
176,2651.77,192.168.0.107,9,10.10.0.5,9,UDP,456,405,51,34656,30780,0.171961,0.152728,13.069,11.6073,0.0121452,0.00195337,0.0928588,76,0.111842,0,Sybil Attack
177,2651.77,192.168.0.108,9,10.10.0.5,9,UDP,456,405,51,34656,30780,0.171961,0.152728,13.069,11.6073,0.0121781,0.00195337,0.0928588,76,0.111842,0,Sybil Attack
178,2651.77,192.168.0.109,9,10.10.0.5,9,UDP,456,405,51,34656,30780,0.171961,0.152728,13.069,11.6073,0.0122139,0.00195337,0.0928588,76,0.111842,0,Sybil Attack
681,2.76781,192.168.0.100,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3756,82.3756,6260.55,6260.55,0.0114062,0.00188438,50.0844,76,0,0,Sybil Attack
682,2.76784,192.168.0.101,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3747,82.3747,6260.47,6260.47,0.011439,0.00188438,50.0838,76,0,0,Sybil Attack
683,2.76787,192.168.0.102,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3737,82.3737,6260.4,6260.4,0.0114718,0.00188438,50.0832,76,0,0,Sybil Attack
684,2.76791,192.168.0.103,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3727,82.3727,6260.33,6260.33,0.0115046,0.00188438,50.0826,76,0,0,Sybil Attack
685,2.76794,192.168.0.104,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3717,82.3717,6260.25,6260.25,0.0115375,0.00188438,50.082,76,0,0,Sybil Attack
686,2.76797,192.168.0.105,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3707,82.3707,6260.18,6260.18,0.0115703,0.00188438,50.0814,76,0,0,Sybil Attack
687,2.76801,192.168.0.106,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3698,82.3698,6260.1,6260.1,0.0116031,0.00188438,50.0808,76,0,0,Sybil Attack
688,2.76804,192.168.0.107,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3688,82.3688,6260.03,6260.03,0.0116359,0.00188438,50.0802,76,0,0,Sybil Attack
689,2.76807,192.168.0.108,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3678,82.3678,6259.95,6259.95,0.0116687,0.00188438,50.0796,76,0,0,Sybil Attack
690,2.76811,192.168.0.109,9,10.10.0.6,9,UDP,228,228,0,17328,17328,82.3667,82.3667,6259.87,6259.87,0.0117046,0.00188438,50.079,76,0,0,Sybil Attack
